domain,logo_url,source_strategy,downloaded_path,error,http_status,extraction_time_ms,_best_score
avis.cr,https://avis.cr/dist/images/logo.svg,img_tag,extracted_logosp/avis.cr.svg,,200.0,2723,160
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca/assets/images/logo.png,img_tag,extracted_logosp/freseniusmedicalcare.ca.png,,200.0,2935,260
bakertilly.lu,https://www.bakertilly.lu/assets/images/logo.svg,img_tag,extracted_logosp/bakertilly.lu.svg,,200.0,3043,70
kia-moeller-wunstorf.de,https://www.kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png,img_tag,extracted_logosp/kia-moeller-wunstorf.de.png,,200.0,3115,265
synlab.com.tr,https://medicover.com.tr/theme/img/new-logo-color.svg,img_tag,extracted_logosp/synlab.com.tr.svg,,200.0,3290,280
greatplacetowork.com.bo,https://www.greatplacetowork.com.bo/hubfs/raw_assets/public/Great_Place_To_Work_January2023/images/GPTW_Logo_2017.svg,img_tag,extracted_logosp/greatplacetowork.com.bo.svg,,200.0,3334,355
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg,img_tag,extracted_logosp/autosecuritas-ct-seysses.fr.svg,,200.0,3356,230
baywa-re.es,https://a.storyblok.com/f/274520/320x77/825ef6227a/baywa-re-logo.png,json_ld,extracted_logosp/baywa-re.es.png,,200.0,3469,90
aamcoconyersga.com,https://www.aamcoconyersga.com/images/logo.png,img_tag,extracted_logosp/aamcoconyersga.com.png,,200.0,3499,220
cafelasmargaritas.es,https://cafelasmargaritas.es/wp-content/uploads/2025/02/lOGO-PARA-ANUNCIO-GOOGLE-500X-500-png-209x209.avif,img_tag,extracted_logosp/cafelasmargaritas.es.png,,200.0,3566,440
deheus.com.vn,https://www.deheus.com.vn/Assets/favicons/safari-pinned-tab.svg,link_tag,extracted_logosp/deheus.com.vn.svg,,200.0,3581,65
pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/03/Pirtek.png,img_tag,extracted_logosp/pirtek.be.png,,200.0,3712,245
menschenfuermenschen.at,https://www.menschenfuermenschen.at/content/img/MfM_LogoRGB-0-105-181-rechteckig.svg,img_tag,extracted_logosp/menschenfuermenschen.at.svg,,200.0,3724,395
affidea.ba,https://affidea.ba/wp-content/themes/affidea/assets/img/affidea-logo.svg,img_tag,extracted_logosp/affidea.ba.svg,,200.0,3843,180
wurthsaudi.com,https://wurthsaudi.com/assets/img/logo4.png,img_tag,extracted_logosp/wurthsaudi.com.png,,200.0,3849,90
veolia.com.ru,https://www.veolia.com.ru/themes/custom/veo_site/build/assets/images/temp/logo-sticky.png,img_tag,extracted_logosp/veolia.com.ru.png,,200.0,3893,295
ovb.ro,https://www.ovb.ro/_assets/591954c268d6a7d5bf39e8f45d857458/img/layout/ovb_logo.svg,playwright_css_bg,extracted_logosp/ovb.ro.svg,,,12238,0
ymcasteuben.org,https://s3.amazonaws.com/recliquecore/imgs/ymca_logos/named/blue_purple.png,playwright_img,extracted_logosp/ymcasteuben.org.png,,,8212,0
tupperware.at,https://tupperware-eu.com/cdn/shop/files/logo_tupperware_black.svg?v=1744289885&width=90,img_tag,extracted_logosp/tupperware.at.svg,,200.0,3968,290
astrazeneca.ua,https://www.astrazeneca.ua/etc/designs/az/img/logo-az.png,img_tag,extracted_logosp/astrazeneca.ua.png,,200.0,4041,310
wurth-international.com,https://www.wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/svg_logos/logo_wuerth_svg.svg,img_tag,extracted_logosp/wurth-international.com.svg,,200.0,4169,215
oil-testing.de,https://oil-testing.de/wp-content/uploads/2018/12/Logo-BV_update.png,img_tag,extracted_logosp/oil-testing.de.png,,200.0,4260,70
ibc-solar.jp,https://www.ibc-solar.com/_assets/3e71f8710dcb04f4f6cadfc63fbe636c/Images/IBC_Solar.svg,img_tag,extracted_logosp/ibc-solar.jp.svg,,200.0,4315,405
julis-sh.de,https://julis-sh.de/wp-content/uploads/2022/06/Logo-Junge-Liberale-768x588.png,img_tag,extracted_logosp/julis-sh.de.png,,200.0,4450,140
nobleprog.mx,https://www.nobleprog.mx/favicon.png,link_tag,extracted_logosp/nobleprog.mx.png,,200.0,4659,45
ebayglobalshipping.com,https://www.ebayglobalshipping.com/themes/custom/custom_barrio/app/images/logo-1.svg,img_tag,extracted_logosp/ebayglobalshipping.com.svg,,200.0,4969,250
plameco-hannover.de,,,,no_logo_found,,5205,0
